name,trigger_type,trigger,what_it_does,tools,implementation
🕶️ Noir / Spider-Noir,Both,`noir` or `spidernoir` in palette; OR hover portrait 5s + click,"Desaturates entire website to black & white with film grain, vignette, canvas rain particles, smoke, projector flicker, Earth-90214 badge, random noir quote. Reverts after 30s.","GSAP (filter tween, TextPlugin), Canvas API (rain), CSS @keyframes (grain/vignette), Mo.js (smoke particles)","1. `gsap.to(body, { filter:'grayscale(1) contrast(1.1) brightness(0.85)', duration:0.8 })` 
2. Override `--accent` CSS var to #fff for purple→white swap 
3. Canvas 2D: 150 diagonal rain lines via rAF loop 
4. Mo.js `mojs.Shape` for rising smoke particles 
5. CSS `::before` repeating-conic-gradient animated with steps() for grain 
6. GSAP TextPlugin for quote typewriter 
7. `setTimeout(restore, 30000)` to fade back"
🎵 Binks' Sake,Both,`binks` or `binkssake` in palette; OR click music album art 3×,Plays Binks' Sake on a completely independent audio layer (music player untouched). SVG pirate ship sails across background synced to song duration. Floating One Piece lyric messages. Cleans up on song end.,"Web Audio API / native `Audio()`, GSAP (ship sail + float tweens), Anime.js (lyric stagger fade-up)","1. `const binks = new Audio('/binks.mp3'); binks.play()` — separate from player 
2. `gsap.to(binks, { volume:0.6, duration:2 })` fade-in 
3. SVG ship at `left:-200px`; `gsap.to(ship, { x: vw+300, duration: binks.duration, ease:'none' })` 
4. `anime({ targets: lyrics, translateY:[-60,0], opacity:[0,1], delay: anime.stagger(8000) })` 
5. `binks.onended` → fade ship opacity to 0, print terminal message, remove DOM nodes"
☠️ Return by Death,Both,`rbd` or `return-by-death` in palette; OR type `rbd` anywhere on page,"Freezes ALL animations. Heartbeat audio plays. Violet glow pulses. Panels glitch/distort. 'Return by Death' text appears. Entire site visually rewinds (clock, dock, portrait, particles). Boot sequence replays. Terminal shows Attempt #N (localStorage).","GSAP (`globalTimeline.pause()`, `tl.reverse()`, `timeScale`, TextPlugin), Anime.js (panel glitch stagger), Web Audio API (heartbeat)","1. Store boot animations in `window.__bootTL = gsap.timeline()` on load 
2. `gsap.globalTimeline.pause()` + `clearInterval(clockTick)` + `audio.pause()` 
3. `new Audio('/heartbeat.mp3').play()` 
4. `anime({ targets:'.panel', translateX:['-5','5'], skewX:['-2','2'], direction:'alternate', loop:8, easing:'easeInOutSine', delay: anime.stagger(60) })` 
5. GSAP TextPlugin: type 'Return by Death' 
6. `window.__bootTL.timeScale(-1.5).reverse()` 
7. `onReverseComplete`: replay `__bootTL.timeScale(1).play()` 
8. `localStorage` counter: `rbd_attempt`"
💜 Satella / I Can Return by Death,Both,`satella` or `i can return by death` in palette; OR Konami-style: ↑↑↓↓S-A-T,"Screen darkens to near-black. Purple shadows spread from corners consuming UI. Audio from linked YouTube video starts hidden. All panels vanish, only portrait remains. SVG tendril hands grow from edges. Custom system modal appears. YouTube video plays in cinematic overlay. On close: 'Witch has returned to her slumber.'","GSAP (darkening, panel exit, corner shadow scale), SVG stroke-dashoffset animation (tendril hands), YouTube IFrame API, Mo.js (shadow particles), CSS letterbox","1. `gsap.to(body, { backgroundColor:'#030007', duration:0.3 })` 
2. Four corner `<div>` with radial gradient; `gsap.to(corners, { scale:3, stagger:0.15 })` 
3. Hidden `<iframe src='youtube_embed?autoplay=1' visibility:hidden>` starts audio 
4. `gsap.to('.panel:not(.portrait)', { opacity:0, scale:0.95, stagger:0.08 })` 
5. SVG paths with `stroke-dasharray = pathLength`; animate `stroke-dashoffset` 0→pathLength in reverse to 'draw' tendrils 
6. Custom modal `<div>` with system-dialog styling 
7. On Acknowledge: swap modal for fullscreen `<iframe>` with CSS letterbox bars 
8. On close: reverse all tweens, terminal message"
🔥 Witch Factor (Combo Achievement),Palette Only,Type `satella` then `return-by-death` within 60 seconds,Detects the combo via timestamp diff. Terminal prints 'Witch Factor Detected'. Glowing achievement toast slides in from top-right. Badge stored in localStorage and shown on future visits.,"GSAP (toast slide-in, glow pulse), `localStorage` (persistence), Anime.js (badge shimmer effect)","1. `let satellaTs = null; onCmd('satella', () => satellaTs = Date.now())` 
2. `onCmd('rbd', () => { if(satellaTs && Date.now()-satellaTs < 60000) unlockAchievement() })` 
3. Toast: `gsap.from(toast, { y:-80, opacity:0, duration:0.6, ease:'back.out(1.7)' })` 
4. `anime({ targets: badge, backgroundPosition: ['0% 50%','100% 50%'], duration:2000, loop:true })` gradient shimmer 
5. `localStorage.setItem('achievement_witch_factor', true)`"
🏴‍☠️ Laugh Tale,Palette Only,`laugh tale` in palette,"Terminal slowly types the One Piece tribute message. Then custom confetti bursts with GitHub Octocat, Docker Whale, and Linux Tux penguin SVG icons instead of normal confetti.","GSAP TextPlugin (terminal typewriter), canvas-confetti with `shapeFromPath()` (custom SVG icons)","1. GSAP TextPlugin: type terminal message at 20 chars/sec 
2. `const ghShape = confetti.shapeFromPath({ path: OCTOCAT_SVG_PATH })` 
3. Repeat for Docker + Tux SVG paths 
4. `confetti({ particleCount:200, shapes:[ghShape, dockerShape, tuxShape], spread:90, origin:{y:0.6} })` 
5. Two bursts from `{x:0.25}` and `{x:0.75}` for spread effect"
🦸 Gear 5 / Luffy Mode,Both,`gear5` in palette; OR click logo 5× rapidly,Website briefly inverts to white with cartoon-style cloud particles. Cursor changes to fist emoji. Bounce/wobble physics on every DOM element. A laugh sound plays. 'Warrior of Liberation' terminal text. Resets after 15s.,"Anime.js (elastic spring wobble on all elements), Mo.js (cloud burst shapes), GSAP (invert filter), CSS cursor override","1. `gsap.to(body, { filter:'invert(1)', duration:0.2, yoyo:true, repeat:1 })` flash to white 
2. `document.body.style.cursor = 'url(fist.png), auto'` 
3. `anime({ targets:'*', translateY: anime.stagger([-5,5]), scale: anime.stagger([0.97,1.03]), easing:'spring(1,80,10,0)', delay: anime.stagger(20) })` 
4. Mo.js Burst: white cloud shapes at random positions 
5. `setTimeout(reset, 15000)`"
🖥️ sudo rm -rf /,Palette Only,`sudo rm -rf /` typed exactly,"Screen glitches violently for 1 second, panels appear to delete one by one. Then terminal prints: 'SubhashOS has backups. Nice try.' Everything restores.","Anime.js (glitch translateX rapid stagger), GSAP (panel scale-to-zero stagger), CSS glitch keyframes","1. `anime({ targets:'.panel', translateX:[0,[-10,10,0]], duration:80, loop:6, easing:'easeInOutSine' })` 
2. `gsap.to('.panel', { scaleY:0, stagger:0.1, duration:0.2, ease:'power2.in' })` 
3. `gsap.from('.panel', { scaleY:0, stagger:0.08, delay:1.5 })` restore 
4. Terminal: 'Permission denied. SubhashOS has backups.'"
💻 vim Easter Egg,Palette Only,`vim` typed in palette,"Palette transforms into a fake Vim editor with mode indicator, fake file content, and blinking cursor. User is 'trapped' until they type `:q!` or `:wq`. Classic dev joke.","Vanilla JS (input parsing), CSS (vim color scheme), GSAP (palette morph transition), Anime.js (cursor blink)","1. Swap palette content to vim UI: mode bar, fake text, `--INSERT--` indicator 
2. `anime({ targets:'.vim-cursor', opacity:[1,0], duration:530, loop:true, easing:'steps(1)' })` 
3. Listen for `:q!` or `:wq` input → restore palette with `gsap.from` 
4. Any other input: show 'E492: Not an editor command'"
📺 Screensaver (Idle),Main Portfolio Only,60 seconds of no mouse/keyboard activity,SubhashOS logo bounces around the screen like a DVD player screensaver. Clicks anywhere to dismiss.,"Vanilla JS (idle detection via `mousemove`/`keydown`), GSAP (bouncing logo position tween with wall collision)","1. `let idle = setTimeout(showScreensaver, 60000); document.addEventListener('mousemove', () => { clearTimeout(idle); idle=setTimeout(showScreensaver,60000) })` 
2. Full-screen black `<div>` + centered logo SVG 
3. GSAP ticker-based bounce: update x/y per frame, reverse vx/vy on wall hit 
4. `document.addEventListener('click', hideScreensaver)`"
⌨️ Console Art (DevTools),Main Portfolio Only,Opening browser DevTools (F12),"Styled ASCII art of 'SubhashOS' prints in the console with purple styling, GitHub link, and a witty hire message.","Vanilla JS `console.log` with `%c` CSS styling, DevTools detection via `window.outerWidth - innerWidth > 160`","1. `setInterval(() => { if(window.outerWidth-window.innerWidth > 160) printConsoleArt() }, 500)` 
2. `console.log('%c SubhashOS v1.0 ', 'background:#4a0080;color:white;font-size:20px;padding:8px;font-family:monospace')` 
3. Follow with hire message and GitHub URL in styled console.log"
🕹️ Konami Code,Main Portfolio Only,↑↑↓↓←→←→BA on keyboard,Full confetti explosion + chime sound + terminal prints 'Cheat code activated. Respect++' Achievement badge unlocks.,"tinykeys (400-byte shortcut library), canvas-confetti, GSAP (achievement toast)","1. Track keydown sequence array, compare last 10 keys to Konami pattern 
2. On match: `confetti({ particleCount:300, spread:160 })` + chime `Audio` 
3. `gsap.from(toast, { y:-80, duration:0.5, ease:'back.out' })` 
4. `localStorage.setItem('konami_unlocked', true)`"
🎯 ping subhash,Palette Only,`ping subhash` in palette,Fake network ping output appears line by line in palette — 4 replies at 1ms each. Then: 'Ping complete. He's always online.',"GSAP TextPlugin (line-by-line typewriter with delays), Vanilla JS (setTimeout chain)","1. Array of ping lines: `['PING subhash.dev', 'Reply: 1ms TTL=64', ...]` 
2. `lines.forEach((line, i) => setTimeout(() => appendTerminalLine(line), i*400))` 
3. Final line after 2s: styled success message in green"
📁 ls -la secrets/,Palette Only,`ls -la secrets/` in palette,"Fake directory listing appears: `crushes.enc`, `salary_expectations.txt.gpg`, `vim_exit_method.sh`, `my_actual_opinions.tar.gz`. Each line fades in sequentially.","Anime.js (stagger fade-in for each file row), GSAP TextPlugin (filename typewriter)","1. Array of fake file objects with permissions, sizes, names 
2. `anime({ targets:'.file-row', opacity:[0,1], translateX:[-10,0], delay: anime.stagger(150) })` 
3. Last item `vim_exit_method.sh` highlighted in red with tooltip 'classified'"
🌊 help me,Palette Only,`help me` in palette,Palette shows: 'Have you tried turning it off and on again?' with a loading spinner. Then auto-scrolls to Contact section and highlights it with a glow pulse.,"GSAP (spinner rotation, section highlight glow), ScrollReveal.js (scroll-to-contact with reveal)","1. Show spinner: `gsap.to(spinner, { rotation:360, duration:1, ease:'none', repeat:-1 })` 
2. After 2s: `gsap.to(window, { scrollTo:'#contact', duration:1.2, ease:'power2.inOut' })` 
3. `gsap.to('#contact', { boxShadow:'0 0 40px #7c3aed', duration:0.5, yoyo:true, repeat:3 })`"
